Name,Team,Minutes Played,PER
b'Donte DiVincenzo',b'MIL',b'1362',b'15.0'
b'Luka Don\xc4\x8di\xc4\x87',b'DAL',b'1799',b'27.7'
b'Luguentz Dort',b'OKC',b'637',b'7.3'
b'Damyean Dotson',b'NYK',b'836',b'10.9'
b'Sekou Doumbouya',b'DET',b'754',b'6.2'
b'PJ Dozier',b'DEN',b'234',b'9.3'
b'Goran Dragi\xc4\x87',b'MIA',b'1531',b'15.9'
b'Andre Drummond',b'TOT',b'1879',b'22.0'
b'Andre Drummond',b'DET',b'1654',b'22.1'
b'Andre Drummond',b'CLE',b'225',b'21.1'
b'Jared Dudley',b'LAL',b'311',b'7.4'
b'Kris Dunn',b'CHI',b'1269',b'12.1'
b'Carsen Edwards',b'BOS',b'316',b'6.5'
b'Henry Ellenson',b'BRK',b'15',b'-1.2'
b'Wayne Ellington',b'NYK',b'558',b'8.5'

b'Joel Embiid',b'PHI',b'1329',b'26.0'
b'James Ennis',b'TOT',b'1053',b'11.5'
b'James Ennis',b'PHI',b'776',b'12.3'
b'James Ennis',b'ORL',b'277',b'9.4'
b'Drew Eubanks',b'SAS',b'130',b'15.3'
b'Jacob Evans',b'TOT',b'418',b'5.5'
b'Jacob Evans',b'GSW',b'414',b'5.7'
b'Jacob Evans',b'MIN',b'4',b'-9.6'
b'Dante Exum',b'TOT',b'485',b'10.4'
b'Dante Exum',b'UTA',b'83',b'4.8'
b'Dante Exum',b'CLE',b'402',b'11.5'
b'Tacko Fall',b'BOS',b'24',b'23.9'
b'Derrick Favors',b'NOP',b'1089',b'19.0'
b'Cristiano Fel\xc3\xadcio',b'CHI',b'386',b'12.8'
b'Terrance Ferguson',b'OKC',b'1170',b'4.1'
b'Bruno Fernando',b'ATL',b'713',b'11.9'
b'Yogi Ferrell',b'SAC',b'484',b'10.7'
b'Dorian Finney-Smith',b'DAL',b'1898',b'12.2'
b'Bryn Forbes',b'SAS',b'1579',b'11.2'
b'Evan Fournier',b'ORL',b'1931',b'16.7'
"b""De'Aaron Fox""",b'SAC',b'1426',b'20.3'
b'Melvin Frazier',b'ORL',b'51',b'7.5'
b'Michael Frazier',b'HOU',b'66',b'2.4'
b'Tim Frazier',b'DET',b'355',b'9.8'
b'Markelle Fultz',b'ORL',b'1813',b'14.4'
b'Wenyen Gabriel',b'TOT',b'210',b'9.6'
b'Wenyen Gabriel',b'SAC',b'61',b'7.5'
b'Wenyen Gabriel',b'POR',b'149',b'10.5'

b'Daniel Gafford',b'CHI',b'609',b'16.2'
b'Danilo Gallinari',b'OKC',b'1690',b'19.4'
b'Langston Galloway',b'DET',b'1702',b'12.3'
b'Darius Garland',b'CLE',b'1824',b'8.5'
b'Marc Gasol',b'TOR',b'990',b'11.9'
b'Rudy Gay',b'SAS',b'1287',b'14.4'
b'Paul George',b'LAC',b'1222',b'20.5'
b'Taj Gibson',b'NYK',b'1025',b'16.1'
b'Harry Giles',b'SAC',b'579',b'16.3'
b'Shai Gilgeous-Alexander',b'OKC',b'2214',b'17.8'
b'Rudy Gobert',b'UTA',b'2142',b'21.7'
b'Brandon Goodwin',b'ATL',b'430',b'11.7'
b'Aaron Gordon',b'ORL',b'1914',b'14.8'
b'Eric Gordon',b'HOU',b'972',b'10.5'
"b""Devonte' Graham""",b'CHO',b'2211',b'15.8'
b'Treveon Graham',b'TOT',b'929',b'6.6'
b'Treveon Graham',b'MIN',b'663',b'6.0'
b'Treveon Graham',b'ATL',b'266',b'8.0'
b'Jerami Grant',b'DEN',b'1676',b'14.2'
b'Josh Gray',b'NOP',b'23',b'-5.0'
b'Danny Green',b'LAL',b'1529',b'11.1'
b'Draymond Green',b'GSW',b'1222',b'12.6'

b'JaMychal Green',b'LAC',b'1130',b'10.8'
b'Javonte Green',b'BOS',b'414',b'12.3'
b'Jeff Green',b'TOT',b'754',b'12.8'
b'Jeff Green',b'UTA',b'553',b'10.1'
b'Jeff Green',b'HOU',b'201',b'20.0'
b'Blake Griffin',b'DET',b'512',b'11.9'
b'Marko Guduric',b'MEM',b'476',b'8.8'
b'Kyle Guy',b'SAC',b'4',b'9.8'
b'Rui Hachimura',b'WAS',b'1217',b'13.9'
b'Devon Hall',b'OKC',b'20',b'3.6'
b'Donta Hall',b'DET',b'48',b'7.3'
b'Dusty Hannahs',b'MEM',b'13',b'21.3'
b'Tim Hardaway Jr.',b'DAL',b'1815',b'15.0'
b'James Harden',b'HOU',b'2241',b'28.4'
b'Maurice Harkless',b'TOT',b'1427',b'9.7'
b'Maurice Harkless',b'LAC',b'1141',b'9.6'
b'Maurice Harkless',b'NYK',b'286',b'10.1'
b'Jared Harper',b'PHO',b'8',b'-5.3'
b'Montrezl Harrell',b'LAC',b'1749',b'23.1'
b'Gary Harris',b'DEN',b'1780',b'9.7'
