,Name,Team,Minutes Played,PER
207,Bryn Forbes,SAS,1579,11.2
208,Evan Fournier,ORL,1931,16.7
209,De'Aaron Fox,SAC,1426,20.3
210,Melvin Frazier,ORL,51,7.5
211,Michael Frazier,HOU,66,2.4
212,Tim Frazier,DET,355,9.8
213,Markelle Fultz,ORL,1813,14.4
214,Wenyen Gabriel,TOT,210,9.6
215,Wenyen Gabriel,SAC,61,7.5
216,Wenyen Gabriel,POR,149,10.5
217,,,,
218,Daniel Gafford,CHI,609,16.2
219,Danilo Gallinari,OKC,1690,19.4
220,Langston Galloway,DET,1702,12.3
221,Darius Garland,CLE,1824,8.5
222,Marc Gasol,TOR,990,11.9
223,Rudy Gay,SAS,1287,14.4
224,Paul George,LAC,1222,20.5
225,Taj Gibson,NYK,1025,16.1
226,Harry Giles,SAC,579,16.3
227,Shai Gilgeous-Alexander,OKC,2214,17.8
228,Rudy Gobert,UTA,2142,21.7
229,Brandon Goodwin,ATL,430,11.7
230,Aaron Gordon,ORL,1914,14.8
231,Eric Gordon,HOU,972,10.5
232,Devonte' Graham,CHO,2211,15.8
233,Treveon Graham,TOT,929,6.6
234,Treveon Graham,MIN,663,6.0
235,Treveon Graham,ATL,266,8.0
236,Jerami Grant,DEN,1676,14.2
237,Josh Gray,NOP,23,-5.0
238,Danny Green,LAL,1529,11.1
239,Draymond Green,GSW,1222,12.6
240,,,,
241,JaMychal Green,LAC,1130,10.8
242,Javonte Green,BOS,414,12.3
243,Jeff Green,TOT,754,12.8
244,Jeff Green,UTA,553,10.1
245,Jeff Green,HOU,201,20.0
246,Blake Griffin,DET,512,11.9
247,Marko Guduric,MEM,476,8.8
248,Kyle Guy,SAC,4,9.8
249,Rui Hachimura,WAS,1217,13.9
250,Devon Hall,OKC,20,3.6
251,Donta Hall,DET,48,7.3
252,Dusty Hannahs,MEM,13,21.3
253,Tim Hardaway Jr.,DAL,1815,15.0
254,James Harden,HOU,2241,28.4
255,Maurice Harkless,TOT,1427,9.7
256,Maurice Harkless,LAC,1141,9.6
257,Maurice Harkless,NYK,286,10.1
258,Jared Harper,PHO,8,-5.3
259,Montrezl Harrell,LAC,1749,23.1
260,Gary Harris,DEN,1780,9.7
261,Joe Harris,BRK,1946,12.7
262,Tobias Harris,PHI,2243,16.8
263,Shaquille Harrison,CHI,484,17.8
264,Josh Hart,NOP,1563,11.7
265,,,,
266,Isaiah Hartenstein,HOU,266,18.7
267,Udonis Haslem,MIA,21,3.0
268,Jaxson Hayes,NOP,951,17.8
269,Gordon Hayward,BOS,1501,18.2
270,John Henson,TOT,600,17.0
271,John Henson,CLE,412,16.9
272,John Henson,DET,188,17.1
273,Dewan Hernandez,TOR,11,4.2
274,Juan Hernangómez,TOT,833,10.4
275,Juan Hernangómez,DEN,422,6.9
