
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
66,Julius Randle\randlju01,Oct 28 '14 LAL vs. HOU,20,6,375,10934,2274,4610,168,570,1316,1818,816,3375,1045,248,178,937,1189,6032,.493,.295,.724,29.2,16.1,9.0,2.8
67,Glenn Robinson\robingl02,Nov 14 '14 MIN @ NOP,21,6,279,4887,640,1395,174,468,210,273,190,721,218,144,55,142,255,1664,.459,.372,.769,17.5,6.0,2.6,0.8
68,Damjan Rudež\rudezda01,Oct 29 '14 IND vs. PHI,28,3,146,1638,175,413,106,284,24,31,18,92,84,31,7,69,143,480,.424,.373,.774,11.2,3.3,0.6,0.6
69,JaKarr Sampson\sampsja02,Oct 29 '14 PHI @ IND,21,5,199,3102,407,879,57,227,181,273,122,522,145,82,93,165,376,1052,.463,.251,.663,15.6,5.3,2.6,0.7
70,Marcus Smart\smartma01,Oct 29 '14 BOS vs. BRK,20,6,394,11409,1296,3469,575,1808,721,932,355,1409,1594,615,148,670,1027,3888,.374,.318,.774,29.0,9.9,3.6,4.0
71,Russ Smith\smithru01,Nov 4 '14 NOP vs. CHO,23,2,27,131,15,47,3,16,20,26,2,15,19,8,1,19,18,53,.319,.188,.769,4.9,2.0,0.6,0.7
72,Nik Stauskas\stausni01,Oct 29 '14 SAC vs. GSW,21,5,335,6662,765,1967,396,1121,346,425,77,688,513,139,80,339,425,2272,.389,.353,.814,19.9,6.8,2.1,1.5
73,David Stockton\stockda01,Feb 21 '15 SAC @ LAC,23,2,6,42,4,9,3,5,7,10,0,2,9,2,0,5,4,18,.444,.600,.700,7.0,3.0,0.3,1.5
74,Jarnell Stokes\stokeja01,Nov 17 '14 MEM vs. HOU,21,3,28,151,25,43,0,0,17,32,18,40,7,7,5,7,29,67,.581,,.531,5.4,2.4,1.4,0.3
75,Noah Vonleh\vonleno01,Nov 15 '14 CHO @ GSW,19,6,332,5659,638,1387,92,297,287,415,470,1740,255,137,136,265,606,1655,.460,.310,.692,17.0,5.0,5.2,0.8
76,T.J. Warren\warretj01,Nov 9 '14 PHO vs. GSW,21,6,322,9218,2023,4012,225,643,623,802,440,1320,380,317,161,330,758,4894,.504,.350,.777,28.6,15.2,4.1,1.2
77,David Wear\wearda01,Mar 30 '15 SAC @ MEM,24,1,2,7,0,2,0,1,0,0,2,2,1,0,0,0,1,0,.000,.000,,3.5,0.0,1.0,0.5
78,Travis Wear\weartr01,Oct 29 '14 NYK vs. CHI,24,2,68,900,109,281,28,77,28,34,31,144,47,19,16,41,85,274,.388,.364,.824,13.2,4.0,2.1,0.7
79,Shayne Whittington\whittsh01,Nov 8 '14 IND vs. WAS,23,2,27,149,24,53,1,8,19,25,15,41,9,6,3,10,25,68,.453,.125,.760,5.5,2.5,1.5,0.3
80,Andrew Wiggins\wiggian01,Oct 29 '14 MIN @ MEM,19,6,454,16242,3304,7488,540,1625,1795,2451,572,1977,1065,452,278,954,981,8943,.441,.332,.732,35.8,19.7,4.4,2.3
81,C.J. Wilcox\wilcocj01,Dec 3 '14 LAC vs. ORL,24,3,66,376,50,135,19,57,13,16,6,31,30,15,4,18,30,132,.370,.333,.813,5.7,2.0,0.5,0.5
82,James Young\youngja01,Nov 1 '14 BOS @ HOU,19,4,95,812,77,210,38,137,27,48,19,96,28,24,5,15,58,219,.367,.277,.563,8.5,2.3,1.0,0.3
